config_path,episode,steps,reward,evacuated,deactivated
eval_configs/config_9.json,1,44,990.0,0,4
eval_configs/config_9.json,2,30,880.0,0,4
eval_configs/config_9.json,3,12,510.0,0,4
eval_configs/config_9.json,4,58,1490.0,2,2
eval_configs/config_9.json,5,57,920.0,1,3
eval_configs/config_9.json,6,23,740.0,0,4
eval_configs/config_9.json,7,56,1560.0,0,4
eval_configs/config_9.json,8,32,1070.0,0,4
eval_configs/config_9.json,9,20,700.0,0,4
eval_configs/config_9.json,10,42,640.0,0,4
eval_configs/config_8.json,1,46,1100.0,1,3
eval_configs/config_8.json,2,48,1850.0,3,1
eval_configs/config_8.json,3,45,1220.0,1,3
eval_configs/config_8.json,4,48,1820.0,3,1
eval_configs/config_8.json,5,47,1720.0,1,3
eval_configs/config_8.json,6,49,1950.0,3,1
eval_configs/config_8.json,7,47,1640.0,2,2
eval_configs/config_8.json,8,48,1730.0,2,2
eval_configs/config_8.json,9,47,1900.0,3,1
eval_configs/config_8.json,10,48,1370.0,2,2
eval_configs/config_7.json,1,47,1680.0,2,2
eval_configs/config_7.json,2,50,1720.0,3,1
eval_configs/config_7.json,3,51,1740.0,3,1
eval_configs/config_7.json,4,52,2070.0,4,0
eval_configs/config_7.json,5,17,670.0,0,4
eval_configs/config_7.json,6,46,1400.0,1,3
eval_configs/config_7.json,7,40,1340.0,0,4
eval_configs/config_7.json,8,46,1260.0,1,3
eval_configs/config_7.json,9,46,1080.0,0,4
eval_configs/config_7.json,10,47,1250.0,1,3
eval_configs/config_6.json,1,37,1300.0,2,2
eval_configs/config_6.json,2,38,1360.0,3,1
eval_configs/config_6.json,3,36,1340.0,2,2
eval_configs/config_6.json,4,36,830.0,1,3
eval_configs/config_6.json,5,38,1350.0,2,2
eval_configs/config_6.json,6,38,1530.0,3,1
eval_configs/config_6.json,7,14,580.0,0,4
eval_configs/config_6.json,8,35,1010.0,1,3
eval_configs/config_6.json,9,36,1580.0,2,2
eval_configs/config_6.json,10,36,1080.0,1,3
eval_configs/config_5.json,1,39,1520.0,3,1
eval_configs/config_5.json,2,48,920.0,1,3
eval_configs/config_5.json,3,39,1410.0,3,1
eval_configs/config_5.json,4,37,900.0,1,3
eval_configs/config_5.json,5,39,1060.0,1,3
eval_configs/config_5.json,6,37,1420.0,2,2
eval_configs/config_5.json,7,42,1270.0,3,1
eval_configs/config_5.json,8,36,1260.0,2,2
eval_configs/config_5.json,9,36,1060.0,1,3
eval_configs/config_5.json,10,43,1630.0,4,0
eval_configs/config_4.json,1,28,1170.0,3,1
eval_configs/config_4.json,2,26,630.0,1,3
eval_configs/config_4.json,3,25,820.0,1,3
eval_configs/config_4.json,4,36,880.0,2,2
eval_configs/config_4.json,5,28,980.0,2,2
eval_configs/config_4.json,6,26,700.0,1,3
eval_configs/config_4.json,7,27,900.0,2,2
eval_configs/config_4.json,8,29,870.0,1,3
eval_configs/config_4.json,9,26,570.0,1,3
eval_configs/config_4.json,10,29,770.0,2,2
eval_configs/config_3.json,1,28,1290.0,4,0
eval_configs/config_3.json,2,30,1200.0,3,1
eval_configs/config_3.json,3,29,1180.0,3,1
eval_configs/config_3.json,4,29,970.0,2,2
eval_configs/config_3.json,5,29,1200.0,3,1
eval_configs/config_3.json,6,29,1300.0,4,0
eval_configs/config_3.json,7,28,1300.0,4,0
eval_configs/config_3.json,8,28,1170.0,3,1
eval_configs/config_3.json,9,28,1300.0,4,0
eval_configs/config_3.json,10,29,1290.0,4,0
eval_configs/config_2.json,1,19,890.0,4,0
eval_configs/config_2.json,2,18,880.0,4,0
eval_configs/config_2.json,3,18,780.0,3,1
eval_configs/config_2.json,4,18,910.0,4,0
eval_configs/config_2.json,5,19,780.0,3,1
eval_configs/config_2.json,6,17,790.0,3,1
eval_configs/config_2.json,7,18,700.0,3,1
eval_configs/config_2.json,8,19,910.0,4,0
eval_configs/config_2.json,9,19,850.0,4,0
eval_configs/config_2.json,10,19,790.0,3,1
eval_configs/config_10.json,1,19,690.0,0,4
eval_configs/config_10.json,2,20,800.0,0,4
eval_configs/config_10.json,3,11,470.0,0,4
eval_configs/config_10.json,4,18,610.0,0,4
eval_configs/config_10.json,5,22,850.0,0,4
eval_configs/config_10.json,6,148,-490.0,0,4
eval_configs/config_10.json,7,236,-3030.0,0,4
eval_configs/config_10.json,8,28,830.0,0,4
eval_configs/config_10.json,9,10,390.0,0,4
eval_configs/config_10.json,10,15,650.0,0,4
eval_configs/config_1.json,1,18,890.0,4,0
eval_configs/config_1.json,2,19,890.0,4,0
eval_configs/config_1.json,3,19,840.0,4,0
eval_configs/config_1.json,4,18,940.0,4,0
eval_configs/config_1.json,5,19,870.0,4,0
eval_configs/config_1.json,6,18,880.0,4,0
eval_configs/config_1.json,7,17,750.0,3,1
eval_configs/config_1.json,8,20,890.0,4,0
eval_configs/config_1.json,9,19,910.0,4,0
eval_configs/config_1.json,10,18,880.0,3,1
